,Symbol,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
44,PAAC,Chou Shih-Chung,Director,"Apr 20, 2020",$0.20,600000,120000,1031250,"Apr 23, 2020, 08:59 PM",buy
45,BKGM,Leon Guerrero Eugenia Aflague,10% Owner,"Apr 22, 2020",$10.00,4515,45150,1787711,"Apr 23, 2020, 08:13 PM",buy
46,BKGM,SAN AGUSTIN JOHN SHIMIZU,Director,"Apr 22, 2020",$10.00,180,1800,37008,"Apr 23, 2020, 08:12 PM",buy
47,BKGM,Ada Patricia Ann Perez,Director,"Apr 22, 2020",$10.00,61,610,112299,"Apr 23, 2020, 08:08 PM",buy
48,BKGM,Leon Guerrero William David,Director,"Apr 22, 2020",$10.00,816,8160,78492,"Apr 23, 2020, 08:06 PM",buy
49,BKGM,Leon Guerrero Martin Dela Rosa,Director,"Apr 22, 2020",$10.00,852,8520,95146,"Apr 23, 2020, 08:05 PM",buy
50,NJMC,Swallow John,President and CEO,"Apr 22, 2020",$0.13,370370,48148,16847373,"Apr 23, 2020, 07:54 PM",buy
51,AMRB,ROBOTHAM WILLIAM A,Director,"Apr 23, 2020",$9.50,2500,23750,113714,"Apr 23, 2020, 06:59 PM",buy
52,XELB,D LOREN ROBERT W,CEO & Chairman,"Apr 22, 2020",$0.55,2805,1543,1384758,"Apr 23, 2020, 06:34 PM",buy
53,XELB,D LOREN ROBERT W,CEO & Chairman,"Apr 21, 2020",$0.52,6453,3356,1381953,"Apr 23, 2020, 06:34 PM",buy
54,T,LUCZO STEPHEN J,Director,"Apr 22, 2020",$29.38,36000,1057579,200000,"Apr 23, 2020, 06:19 PM",buy
55,CNBKA,Filler James J,10% Owner,"Apr 16, 2020",$58.28,1222,71216,777933,"Apr 23, 2020, 04:52 PM",buy
56,CNBKA,Filler James J,10% Owner,"Apr 23, 2020",$61.75,100,6175,779933,"Apr 23, 2020, 04:52 PM",buy
57,CNBKA,Filler James J,10% Owner,"Apr 15, 2020",$63.03,700,44124,776711,"Apr 23, 2020, 04:52 PM",buy
58,CNBKA,Filler James J,10% Owner,"Apr 20, 2020",$57.49,1000,57487,779833,"Apr 23, 2020, 04:52 PM",buy
59,CNBKA,Filler James J,10% Owner,"Apr 17, 2020",$56.58,900,50922,778833,"Apr 23, 2020, 04:52 PM",buy
60,CFG,KOCH CHARLES JOHN,Director,"Apr 22, 2020",$19.76,5000,98800,93924,"Apr 23, 2020, 04:40 PM",buy
61,CFG,KOCH CHARLES JOHN,Director,"Apr 21, 2020",$19.47,20000,389400,88924,"Apr 23, 2020, 04:40 PM",buy
