,Symbol,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
87,CNBKA,Delinsky Stephen R,Director,"Apr 20, 2020",$59.70,46,2746,2790,"Apr 21, 2020, 11:45 AM",buy
88,TIPT,Barnes Michael Gene,Executive Chairman,"Apr 17, 2020",$5.35,2795,14945,8251925,"Apr 21, 2020, 10:05 AM",buy
89,TIPT,Barnes Michael Gene,Executive Chairman,"Apr 20, 2020",$5.26,2771,14564,8254696,"Apr 21, 2020, 10:05 AM",buy
90,TREC,Quarles Patrick D.,President and CEO,"Apr 20, 2020",$5.75,7231,41578,199033,"Apr 21, 2020, 08:48 AM",buy
91,SAMG,HOUGH RICHARD R III,Chairman and CEO,"Apr 20, 2020",$9.45,36,340,9586,"Apr 20, 2020, 08:34 PM",buy
92,SAMG,HOUGH RICHARD R III,Chairman and CEO,"Apr 17, 2020",$9.28,5350,49648,9550,"Apr 20, 2020, 08:34 PM",buy
93,XELB,D LOREN ROBERT W,CEO & Chairman,"Apr 20, 2020",$0.55,8000,4400,1375500,"Apr 20, 2020, 06:00 PM",buy
94,XELB,D LOREN ROBERT W,CEO & Chairman,"Apr 17, 2020",$0.55,1600,880,1367500,"Apr 20, 2020, 06:00 PM",buy
95,XELB,D LOREN ROBERT W,CEO & Chairman,"Apr 16, 2020",$0.55,1958,1077,1365900,"Apr 20, 2020, 06:00 PM",buy
96,LQDT,Angrick William P III,Chairman of the Board and CEO,"Apr 20, 2020",$4.98,16147,80412,4551871,"Apr 20, 2020, 05:39 PM",buy
97,LQDT,Angrick William P III,Chairman of the Board and CEO,"Apr 17, 2020",$4.89,29941,146411,4535724,"Apr 20, 2020, 05:39 PM",buy
98,LQDT,Angrick William P III,Chairman of the Board and CEO,"Apr 16, 2020",$4.75,29687,141013,4505783,"Apr 20, 2020, 05:39 PM",buy
99,AA,Nevels James E,Director,"Apr 17, 2020",$7.32,200,1464,13102,"Apr 20, 2020, 05:27 PM",buy
100,BKTI,"Fundamental Global Investors, LLC",Director,"Apr 16, 2020",$2.31,1073,2483,711192,"Apr 20, 2020, 05:08 PM",buy
101,BKTI,"Fundamental Global Investors, LLC",Director,"Apr 17, 2020",$2.42,1401,3392,1164316,"Apr 20, 2020, 05:08 PM",buy
102,BKTI,"Fundamental Global Investors, LLC",Director,"Apr 17, 2020",$2.42,600,1452,711792,"Apr 20, 2020, 05:08 PM",buy
103,BKTI,"Fundamental Global Investors, LLC",Director,"Apr 16, 2020",$2.31,2505,5796,1162915,"Apr 20, 2020, 05:08 PM",buy
1,BKTI,"Fundamental Global Investors, LLC",Director,"Apr 16, 2020",$2.31,2505,5796,1162915,"Apr 20, 2020, 05:08 PM",buy
2,BKTI,"Fundamental Global Investors, LLC",Director,"Apr 16, 2020",$2.31,1073,2483,711192,"Apr 20, 2020, 05:08 PM",buy
3,BKTI,"Fundamental Global Investors, LLC",Director,"Apr 17, 2020",$2.42,1401,3392,1164316,"Apr 20, 2020, 05:08 PM",buy
4,BKTI,"Fundamental Global Investors, LLC",Director,"Apr 17, 2020",$2.42,600,1452,711792,"Apr 20, 2020, 05:08 PM",buy
5,BTN,"Fundamental Global Investors, LLC",Director,"Apr 17, 2020",$1.64,2268,3722,1604908,"Apr 20, 2020, 05:07 PM",buy
6,BTN,"Fundamental Global Investors, LLC",Director,"Apr 16, 2020",$1.69,2268,3824,1617723,"Apr 20, 2020, 05:07 PM",buy
7,BTN,"Fundamental Global Investors, LLC",Director,"Apr 16, 2020",$1.69,2268,3824,1602640,"Apr 20, 2020, 05:07 PM",buy
8,BTN,"Fundamental Global Investors, LLC",Director,"Apr 17, 2020",$1.64,2268,3722,1619991,"Apr 20, 2020, 05:07 PM",buy
9,AGX,Getsinger Peter W,Director,"Apr 17, 2020",$35.10,1000,35100,12000,"Apr 20, 2020, 05:04 PM",buy
10,RGT,CLARK CHRISTOPHER D,President,"Apr 17, 2020",$8.91,3771,33600,33538,"Apr 20, 2020, 05:01 PM",buy
11,RGT,CLARK CHRISTOPHER D,President,"Apr 20, 2020",$8.89,6205,55132,39743,"Apr 20, 2020, 05:01 PM",buy
12,MN,McGreevy Aaron Thomas,See Remarks,"Mar 06, 2020",$1.57,2717,4266,209825,"Apr 20, 2020, 04:22 PM",buy
13,MS,LUCZO STEPHEN J,Director,"Apr 17, 2020",$38.68,19000,734871,190000,"Apr 20, 2020, 04:14 PM",buy
14,MNSB,Brockett Charles C.,President,"Apr 16, 2020",$13.75,150,2063,92766,"Apr 20, 2020, 04:10 PM",buy
15,HQI,Hermanns Richard,President and CEO,"Apr 15, 2020",$6.63,2500,16575,5846190,"Apr 20, 2020, 04:06 PM",buy
16,HQI,Hermanns Richard,President and CEO,"Apr 17, 2020",$6.64,2500,16605,5851190,"Apr 20, 2020, 04:06 PM",buy
17,HQI,Hermanns Richard,President and CEO,"Apr 16, 2020",$6.64,2500,16599,5848690,"Apr 20, 2020, 04:06 PM",buy
18,HQI,JACKSON EDWARD,Director,"Apr 17, 2020",$6.70,700,4690,2542794,"Apr 20, 2020, 04:04 PM",buy
19,HQI,JACKSON EDWARD,Director,"Apr 16, 2020",$6.70,1552,10398,2542094,"Apr 20, 2020, 04:04 PM",buy
20,ESQ,Grossman Marc D,Director,"Apr 16, 2020",$13.63,4000,54500,4000,"Apr 20, 2020, 03:37 PM",buy
21,OTIVF,Ivy Jerry Lafe JR,10% Owner,"Apr 16, 2020",$960000.00,4800000,4608000000000,13997757,"Apr 20, 2020, 03:31 PM",buy
22,SPWR,TOTAL S.A.,Director,"Apr 17, 2020",$6.59,18905,124612,87840263,"Apr 20, 2020, 03:30 PM",buy
23,SPWR,TOTAL S.A.,Director,"Apr 16, 2020",$6.51,66769,434686,87821358,"Apr 20, 2020, 03:30 PM",buy
24,YORW,Rasmussen Steven R,Director,"Apr 20, 2020",$42.35,14,593,2276,"Apr 20, 2020, 03:16 PM",buy
25,ASRV,WISE ROBERT L,Director,"Apr 15, 2020",$2.73,252,688,162359,"Apr 20, 2020, 02:07 PM",buy
26,CHCR,Marcus Clark A.,CEO,"Apr 17, 2020",$0.19,7500,1425,144300,"Apr 20, 2020, 01:44 PM",buy
27,SIEB,Gebbia Gloria E,Director,"Apr 16, 2020",$5.60,2181621,12217077,10031236,"Apr 20, 2020, 01:00 PM",buy
28,SCHW,Goldfarb Mark A,Director,"Apr 17, 2020",$36.17,5530,200048,27385,"Apr 20, 2020, 12:46 PM",buy
29,PHD,"Saba Capital Management, L.P.",10% Owner,"Apr 17, 2020",$8.43,35929,302881,3267752,"Apr 20, 2020, 11:45 AM",buy
30,PHD,"Saba Capital Management, L.P.",10% Owner,"Apr 16, 2020",$8.36,65030,543651,3231823,"Apr 20, 2020, 11:45 AM",buy
31,PIH,Hill John S,"EVP, Secretary & CFO","Apr 16, 2020",$20.60,100,2060,100,"Apr 20, 2020, 11:40 AM",buy
32,NHS,"Saba Capital Management, L.P.",10% Owner,"Apr 16, 2020",$9.52,16998,161821,4389449,"Apr 20, 2020, 11:32 AM",buy
33,EHI,"Saba Capital Management, L.P.",10% Owner,"Apr 17, 2020",$8.49,17429,147972,8725666,"Apr 20, 2020, 11:28 AM",buy
34,EHI,"Saba Capital Management, L.P.",10% Owner,"Apr 16, 2020",$8.30,121936,1012069,8708237,"Apr 20, 2020, 11:28 AM",buy
35,OTIVF,Medford James Scott,Director,"Apr 16, 2020",$0.20,240000,48000,510000,"Apr 20, 2020, 11:18 AM",buy
36,RDGL,Korenko Michael K,President and CEO,"Apr 15, 2020",$0.03,70000,1750,564315,"Apr 20, 2020, 09:30 AM",buy
37,YORW,DOTZEL CYNTHIA,Director,"Apr 15, 2020",$44.55,25,1114,15005,"Apr 20, 2020, 08:44 AM",buy
38,YORW,DOTZEL CYNTHIA,Director,"Apr 16, 2020",$42.35,15,635,15047,"Apr 20, 2020, 08:44 AM",buy
39,PIH,"Fundamental Global Investors, LLC",Director,"Apr 17, 2020",$4.78,23400,111868,571068,"Apr 20, 2020, 08:41 AM",buy
40,CRNX,PERCEPTIVE ADVISORS LLC,10% Owner,"Apr 17, 2020",$14.00,1071428,14999992,3659381,"Apr 20, 2020, 08:30 AM",buy
41,OPK,FROST PHILLIP MD ET AL,CEO & Chairman,"Apr 17, 2020",$1.66,325000,540364,189271694,"Apr 20, 2020, 08:06 AM",buy
42,JVA,Rotelli John,Director,"Apr 16, 2020",$2.70,1290,3483,5298,"Apr 17, 2020, 08:30 PM",buy
43,AMAR,CHEN STEPHEN T,"President,Chairman,CEO,CFO","Apr 16, 2020",$0.23,200,46,776500,"Apr 17, 2020, 08:05 PM",buy
44,AMAR,CHEN STEPHEN T,"President,Chairman,CEO,CFO","Apr 15, 2020",$0.22,100,22,776300,"Apr 17, 2020, 08:05 PM",buy
45,AMAR,CHEN STEPHEN T,"President,Chairman,CEO,CFO","Apr 17, 2020",$0.23,100,23,776600,"Apr 17, 2020, 08:05 PM",buy
46,HII,Bilden Philip M.,Director,"Apr 15, 2020",$190.00,526,99940,14143,"Apr 17, 2020, 08:05 PM",buy
47,GRWC,Kennedy Terry Joe,10% Owner,"Dec 12, 2019",$0.05,1000000,50000,14834002,"Apr 17, 2020, 07:38 PM",buy
48,SPLP,LICHTENSTEIN WARREN G,Executive Chairman,"Apr 17, 2020",$4.96,700,3474,187612,"Apr 17, 2020, 07:14 PM",buy
49,SPLP,LICHTENSTEIN WARREN G,Executive Chairman,"Apr 16, 2020",$5.00,100,500,186912,"Apr 17, 2020, 07:14 PM",buy
50,SPLP,LICHTENSTEIN WARREN G,Executive Chairman,"Apr 15, 2020",$4.80,2,10,186812,"Apr 17, 2020, 07:14 PM",buy
51,BBCP,BROWN DAVID A B,Director,"Apr 16, 2020",$2.02,10590,21392,75601,"Apr 17, 2020, 06:55 PM",buy
52,BBCP,BROWN DAVID A B,Director,"Apr 16, 2020",$2.02,7825,15806,83426,"Apr 17, 2020, 06:55 PM",buy
53,ECC,Tramontano Paul E.,Director,"Apr 17, 2020",$6.20,10000,62000,27127,"Apr 17, 2020, 06:45 PM",buy
54,PRSP,Ventling Michael Earl,Director,"Apr 16, 2020",$19.00,2000,38000,17400,"Apr 17, 2020, 06:05 PM",buy
55,JCAP,Decker Mark O.,Director,"Apr 15, 2020",$12.31,424,5219,24574,"Apr 17, 2020, 05:54 PM",buy
56,FPH,"Luxor Capital Group, LP",10% Owner,"Apr 15, 2020",$4.55,171045,778255,3280845,"Apr 17, 2020, 05:40 PM",buy
57,FPH,"Luxor Capital Group, LP",10% Owner,"Apr 15, 2020",$4.55,67089,305255,1518016,"Apr 17, 2020, 05:40 PM",buy
58,FPH,"Luxor Capital Group, LP",10% Owner,"Apr 15, 2020",$4.55,254466,1157820,5711255,"Apr 17, 2020, 05:40 PM",buy
59,IGEN,Chan Neil Gene,CEO,"Apr 14, 2020",$0.01,1000000,7000,6798111,"Apr 17, 2020, 05:40 PM",buy
60,IGEN,Chan Neil Gene,CEO,"Apr 17, 2020",$0.01,500000,4000,9798111,"Apr 17, 2020, 05:40 PM",buy
61,IGEN,Chan Neil Gene,CEO,"Apr 16, 2020",$0.01,500000,4500,9298111,"Apr 17, 2020, 05:40 PM",buy
62,IGEN,Chan Neil Gene,CEO,"Apr 15, 2020",$0.01,2000000,14000,8798111,"Apr 17, 2020, 05:40 PM",buy
63,CONN,MARTIN DOUGLAS H,Director,"Apr 16, 2020",$4.03,3000,12086,96601,"Apr 17, 2020, 05:40 PM",buy
64,CONN,MARTIN DOUGLAS H,Director,"Apr 16, 2020",$4.09,6000,24559,54077,"Apr 17, 2020, 05:40 PM",buy
65,CONN,MARTIN DOUGLAS H,Director,"Apr 15, 2020",$4.37,5000,21864,48077,"Apr 17, 2020, 05:40 PM",buy
66,IMVT,Roivant Sciences Ltd.,10% Owner,"Apr 16, 2020",$14.50,1034483,15000004,38439450,"Apr 17, 2020, 05:28 PM",buy
67,MDIA,Standard General L.P.,10% Owner,"Apr 15, 2020",$3.56,5000,17811,118431,"Apr 17, 2020, 05:10 PM",buy
68,MDIA,Standard General L.P.,10% Owner,"Apr 17, 2020",$3.57,900,3211,119731,"Apr 17, 2020, 05:10 PM",buy
69,MDIA,Standard General L.P.,10% Owner,"Apr 16, 2020",$3.59,400,1436,118831,"Apr 17, 2020, 05:10 PM",buy
70,QMCO,"B. Riley Financial, Inc.",10% Owner,"Apr 16, 2020",$3.65,425,1551,8477004,"Apr 17, 2020, 05:07 PM",buy
71,QMCO,"B. Riley Financial, Inc.",10% Owner,"Apr 15, 2020",$3.59,21842,78402,8476579,"Apr 17, 2020, 05:07 PM",buy
72,ECC,Onorio Kenneth P.,CFO/COO,"Apr 17, 2020",$6.45,3000,19350,25394,"Apr 17, 2020, 04:43 PM",buy
73,ECC,Majewski Thomas P.,Chief Executive Officer,"Apr 17, 2020",$6.55,5000,32750,60000,"Apr 17, 2020, 04:34 PM",buy
74,KEY,Gorman Christopher M.,President and COO,"Apr 17, 2020",$10.36,100000,1036000,606941,"Apr 17, 2020, 04:33 PM",buy
75,TLYS,Henry Michael,CFO,"Apr 16, 2020",$4.55,1000,4548,36290,"Apr 17, 2020, 04:32 PM",buy
76,STAG,Jacoby Francis X III,Director,"Mar 13, 2020",$24.50,2000,49000,2000,"Apr 17, 2020, 04:27 PM",buy
77,BSET,SPILMAN ROBERT H JR,Chairman & CEO,"Apr 16, 2020",$5.47,5000,27350,241430,"Apr 17, 2020, 04:21 PM",buy
78,BSET,SPILMAN ROBERT H JR,Chairman & CEO,"Apr 15, 2020",$5.95,30000,178500,236430,"Apr 17, 2020, 04:21 PM",buy
79,GME,Sherman George E Jr,Chief Executive Officer,"Apr 17, 2020",$4.52,25000,112910,1127762,"Apr 17, 2020, 04:19 PM",buy
80,ZAGG,TERINO EDWARD,Director,"Apr 17, 2020",$3.45,30000,103518,30000,"Apr 17, 2020, 04:18 PM",buy
81,EIC,Majewski Thomas P.,Chairman and CEO,"Apr 17, 2020",$10.40,1000,10400,11100,"Apr 17, 2020, 04:12 PM",buy
82,UMH,Mitchell William Edward,Director,"Apr 15, 2020",$10.88,460,5003,2671,"Apr 17, 2020, 04:08 PM",buy
83,SHRG,DOCUMENT SECURITY SYSTEMS INC,10% Owner,"Apr 15, 2020",$0.08,189080,14181,15082424,"Apr 17, 2020, 04:05 PM",buy
84,TREC,Quarles Patrick D.,President and CEO,"Apr 17, 2020",$5.67,15066,85424,191802,"Apr 17, 2020, 03:59 PM",buy
85,VABK,Payne Susan K,Director,"Apr 17, 2020",$30.00,152,4560,16502,"Apr 17, 2020, 03:30 PM",buy
86,FRAF,Henry Timothy G,CEO,"Apr 15, 2020",$28.99,34,986,6169,"Apr 17, 2020, 03:17 PM",buy
87,TFFP,Fletcher Aaron G.L.,Director,"Apr 15, 2020",$4.72,5581,26342,75000,"Apr 17, 2020, 03:06 PM",buy
88,CADXX,"CION Ares Management, LLC",10% Owner,"Apr 09, 2020",$21.79,46,1002,46,"Apr 17, 2020, 02:47 PM",buy
89,CNBKA,EVANGELISTA PAUL A,Executive Vice President,"Apr 16, 2020",$88.16,7,617,5931,"Apr 17, 2020, 02:09 PM",buy
90,CNBKA,SLOANE BARRY R,"Chairman, CEO and President","Apr 16, 2020",$108.17,1,108,1691,"Apr 17, 2020, 02:07 PM",buy
91,GABC,Ramsey Chris A,Director,"Apr 15, 2020",$26.22,64,1678,21931,"Apr 17, 2020, 02:05 PM",buy
92,GABC,SEGER THOMAS W,Director,"Apr 15, 2020",$26.22,162,4248,372217,"Apr 17, 2020, 02:00 PM",buy
93,GABC,Snowden Raymond Ward,Director,"Apr 15, 2020",$26.22,97,2544,31364,"Apr 17, 2020, 01:54 PM",buy
94,GABC,SHEIDLER JACK,Director,"Apr 15, 2020",$26.22,65,1704,51341,"Apr 17, 2020, 01:38 PM",buy
95,GABC,Ryan Christina M,Director,"Apr 15, 2020",$26.22,34,892,2997,"Apr 17, 2020, 01:33 PM",buy
96,GABC,KLEM U BUTCH,Director,"Apr 15, 2020",$26.22,162,4248,183046,"Apr 17, 2020, 01:23 PM",buy
97,GABC,KELLY JASON M,Director,"Apr 15, 2020",$26.22,65,1704,2549,"Apr 17, 2020, 01:18 PM",buy
98,GABC,Bawel Zachary W,Director,"Apr 15, 2020",$26.22,97,2544,6986,"Apr 17, 2020, 01:11 PM",buy
99,MIGT,KOK SENG YEAP,CEO,"Apr 10, 2020",$0.00,90000,90,99156,"Apr 17, 2020, 12:43 PM",buy
100,MIGT,KOK SENG YEAP,CEO,"Mar 24, 2020",$0.00,9156,9,9156,"Apr 17, 2020, 12:43 PM",buy
101,MYOV,"Sumitomo Chemical Co., Ltd.",10% Owner,"Apr 15, 2020",$10.48,70000,733698,47488604,"Apr 17, 2020, 12:38 PM",buy
102,MYOV,"Sumitomo Chemical Co., Ltd.",10% Owner,"Apr 16, 2020",$10.64,70000,744674,47558604,"Apr 17, 2020, 12:38 PM",buy
1,PFSI,Walker David M,Chief Risk Officer,"Apr 24, 2020",$26.59,5000,132950,383285,"Apr 24, 2020, 06:54 PM",sell
2,PFSI,Walker David M,Chief Risk Officer,"Apr 23, 2020",$27.73,10000,277331,388585,"Apr 24, 2020, 06:54 PM",sell
3,TDY,DAHLBERG KENNETH C,Director,"Apr 24, 2020",$312.73,1532,479096,18728,"Apr 24, 2020, 06:53 PM",sell
4,EVER,Birnbaum Seth,President and CEO,"Apr 22, 2020",$37.66,9307,350502,573396,"Apr 24, 2020, 06:53 PM",sell
5,EVER,Birnbaum Seth,President and CEO,"Apr 23, 2020",$40.61,300,12183,573096,"Apr 24, 2020, 06:53 PM",sell
6,ODC,JAFFEE DANIEL S,"Chairman, President and CEO","Apr 22, 2020",$35.05,6139,215172,0,"Apr 24, 2020, 06:32 PM",sell
7,ODC,JAFFEE DANIEL S,"Chairman, President and CEO","Apr 24, 2020",$35.09,918,32213,0,"Apr 24, 2020, 06:32 PM",sell
8,ODC,JAFFEE DANIEL S,"Chairman, President and CEO","Apr 23, 2020",$35.06,300,10518,0,"Apr 24, 2020, 06:32 PM",sell
9,PLMR,Armstrong Mac,Chief Executive Officer,"Apr 22, 2020",$59.70,12500,746224,812888,"Apr 24, 2020, 06:26 PM",sell
10,ACAD,Stankovic Srdjan R.,President,"Apr 23, 2020",$50.07,18949,948729,6027,"Apr 24, 2020, 06:00 PM",sell
11,TMDX,Gordon Stephen,Chief Financial Officer,"Apr 22, 2020",$18.00,100,1800,28471,"Apr 24, 2020, 05:54 PM",sell
12,AMK,Goldman Charles G,President and CEO,"Apr 24, 2020",$22.21,4115,91394,2373052,"Apr 24, 2020, 05:35 PM",sell
13,AMK,Goldman Charles G,President and CEO,"Apr 23, 2020",$22.15,23411,518554,2377167,"Apr 24, 2020, 05:35 PM",sell
14,AMK,Goldman Charles G,President and CEO,"Apr 22, 2020",$22.04,63,1389,2400578,"Apr 24, 2020, 05:35 PM",sell
15,RNG,Agarwal Vaibhav,Chief Accounting Officer,"Apr 22, 2020",$243.54,423,103017,22554,"Apr 24, 2020, 05:33 PM",sell
16,RGEN,BARTHELEMY NICOLAS,Director,"Apr 22, 2020",$109.99,2688,295653,3037,"Apr 24, 2020, 05:22 PM",sell
17,ALBO,Horn Patrick Taylor,Chief Medical Officer,"Apr 22, 2020",$17.64,92,1623,4465,"Apr 24, 2020, 05:22 PM",sell
18,ALBO,Duncan Jason,Chief Legal Officer and GC,"Apr 22, 2020",$17.68,92,1627,4461,"Apr 24, 2020, 05:20 PM",sell
19,FAST,Hein LeLand J,Senior Executive VP,"Apr 24, 2020",$35.50,2500,88750,7611,"Apr 24, 2020, 05:06 PM",sell
20,FAST,Hein LeLand J,Senior Executive VP,"Apr 22, 2020",$34.84,5473,190679,0,"Apr 24, 2020, 05:06 PM",sell
21,FREQ,Lucchino David L.,President and CEO,"Apr 23, 2020",$16.08,1410,22674,455482,"Apr 24, 2020, 05:06 PM",sell
22,REAL,Bjork Fredrik,Chief Technology Officer,"Apr 23, 2020",$9.59,817,7835,243730,"Apr 24, 2020, 05:01 PM",sell
23,FREQ,Loose Christopher R.,Chief Scientific Officer,"Apr 22, 2020",$14.84,4500,66794,196282,"Apr 24, 2020, 04:52 PM",sell
24,CRM,Tallapragada Srinivas,Pres/Chief Engineering Officer,"Apr 23, 2020",$155.25,800,124197,40107,"Apr 24, 2020, 04:51 PM",sell
25,QURE,Kapusta Matthew C,"CEO, CFO, Managing Director","Apr 22, 2020",$56.87,9376,533205,319742,"Apr 24, 2020, 04:46 PM",sell
26,COUP,Riggs Mark,Chief Customer Officer,"Apr 24, 2020",$161.62,929,150145,0,"Apr 24, 2020, 04:40 PM",sell
27,YEXT,Dixon Tom Christopher,Chief Technology Officer,"Apr 23, 2020",$11.71,2500,29286,198908,"Apr 24, 2020, 04:32 PM",sell
28,CARG,Steinert Langley,CEO and Chairman,"Apr 23, 2020",$20.01,2218,44382,1815034,"Apr 24, 2020, 04:26 PM",sell
29,CARG,Steinert Langley,CEO and Chairman,"Apr 22, 2020",$20.01,76,1521,254176,"Apr 24, 2020, 04:26 PM",sell
30,CARG,Steinert Langley,CEO and Chairman,"Apr 22, 2020",$20.01,924,18489,1817252,"Apr 24, 2020, 04:26 PM",sell
31,CARG,Steinert Langley,CEO and Chairman,"Apr 23, 2020",$20.01,182,3642,253994,"Apr 24, 2020, 04:26 PM",sell
32,CNK,Humrichouse Ximena G,Director,"Mar 30, 2020",$11.40,5000,56976,21045,"Apr 24, 2020, 04:22 PM",sell
33,VRTX,Lee Yuchun,Director,"Apr 23, 2020",$272.53,2000,545052,3522,"Apr 24, 2020, 04:17 PM",sell
34,VRTX,Lee Yuchun,Director,"Apr 22, 2020",$267.88,2000,535753,3575,"Apr 24, 2020, 04:17 PM",sell
35,GO,Bracher Charles,Chief Financial Officer,"Apr 22, 2020",$35.77,9375,335383,46068,"Apr 24, 2020, 04:16 PM",sell
36,EBS,El-Hibri Fuad,Chairman,"Apr 22, 2020",$66.81,20000,1336200,1289523,"Apr 24, 2020, 04:16 PM",sell
37,EBS,El-Hibri Fuad,Chairman,"Apr 23, 2020",$68.49,20000,1369800,1269523,"Apr 24, 2020, 04:16 PM",sell
38,GO,Wilson Steven K.,"SVP, Purchasing","Apr 22, 2020",$36.43,42563,1550704,146418,"Apr 24, 2020, 04:15 PM",sell
39,GO,Bracher Charles,Chief Financial Officer,"Apr 08, 2020",$36.49,46875,1710469,42090,"Apr 24, 2020, 04:15 PM",sell
40,MNTA,FIER IAN,Chief Mfg and Program Officer,"Apr 22, 2020",$31.11,1314,40879,7690,"Apr 24, 2020, 04:13 PM",sell
41,STX,LUCZO STEPHEN J,Director,"Apr 22, 2020",$50.49,5000,252439,675666,"Apr 24, 2020, 04:08 PM",sell
42,MASI,KIANI JOE E,CEO and Chairman of the Board,"Apr 22, 2020",$200.27,11336,2270251,159241,"Apr 24, 2020, 04:05 PM",sell
43,HRTG,Vattamattam Joseph,Director,"Jul 10, 2015",$25.00,2650,66250,28791,"Apr 24, 2020, 04:05 PM",sell
44,HRTG,Vattamattam Joseph,Director,"Jun 25, 2015",$21.98,5000,109900,31441,"Apr 24, 2020, 04:05 PM",sell
45,HRTG,Vattamattam Joseph,Director,"May 14, 2015",$20.95,15000,314250,36441,"Apr 24, 2020, 04:05 PM",sell
46,PTC,FERNANDEZ PHILLIP M,Director,"Apr 23, 2020",$64.82,250,16205,22054,"Apr 24, 2020, 04:03 PM",sell
47,SAM,Grinnell David L.,Vice President of Brewing,"Apr 23, 2020",$432.50,947,409578,1595,"Apr 24, 2020, 04:02 PM",sell
48,SAM,KOCH C JAMES,Chairman,"Apr 23, 2020",$427.18,19300,8244643,198341,"Apr 24, 2020, 04:02 PM",sell
49,CIEN,SMITH GARY B,"President, CEO","Apr 23, 2020",$45.15,4250,191906,432014,"Apr 24, 2020, 01:10 PM",sell
50,CIEN,SMITH GARY B,"President, CEO","Apr 22, 2020",$44.79,4250,190363,436264,"Apr 24, 2020, 01:10 PM",sell
51,RARE,Fust Matthew K,Director,"Apr 22, 2020",$65.00,1875,121875,12875,"Apr 24, 2020, 01:00 PM",sell
52,SHSP,CAT ROCK CAPITAL MANAGEMENT LP,10% Owner,"Apr 23, 2020",$6.78,9828,66614,1219095,"Apr 24, 2020, 12:46 PM",sell
53,GIFI,RICHARD C D,Director,"Apr 22, 2020",$2.93,500,1467,4125,"Apr 24, 2020, 12:15 PM",sell
54,"OPGN,OPGNW",Curetis N.V. in Liquidation,10% Owner,"Apr 23, 2020",$2.17,46612,101148,1622568,"Apr 24, 2020, 09:31 AM",sell
55,"OPGN,OPGNW",Curetis N.V. in Liquidation,10% Owner,"Apr 22, 2020",$2.24,42375,94920,1669180,"Apr 24, 2020, 09:31 AM",sell
56,GGO.A,GABELLI MARIO J,Director,"Apr 22, 2020",$40.25,300,12074,14800,"Apr 23, 2020, 09:47 PM",sell
57,GGO.A,GABELLI MARIO J,Director,"Apr 21, 2020",$40.26,100,4026,15100,"Apr 23, 2020, 09:47 PM",sell
58,QTRX,HRUSOVSKY E KEVIN,"Chairman, President & CEO","Apr 23, 2020",$24.92,5000,124587,1114517,"Apr 23, 2020, 09:45 PM",sell
59,QTRX,HRUSOVSKY E KEVIN,"Chairman, President & CEO","Apr 21, 2020",$23.67,5000,118351,1120747,"Apr 23, 2020, 09:45 PM",sell
60,ABT,Ginascol John F,Executive Vice President,"Apr 21, 2020",$96.00,63200,6067051,105679,"Apr 23, 2020, 09:41 PM",sell
61,ABT,CAPEK JOHN M,Executive Vice President,"Apr 21, 2020",$95.87,50100,4803326,335501,"Apr 23, 2020, 09:34 PM",sell
62,ABT,Scoggins Christopher J,Senior Vice President,"Apr 21, 2020",$96.10,414,39785,39706,"Apr 23, 2020, 09:28 PM",sell
63,UBER,Camp Garrett,Director,"Apr 21, 2020",$27.33,170000,4645964,46914183,"Apr 23, 2020, 08:46 PM",sell
64,UBER,Camp Garrett,Director,"Apr 23, 2020",$28.67,170000,4873883,46543298,"Apr 23, 2020, 08:46 PM",sell
65,UBER,Camp Garrett,Director,"Apr 22, 2020",$28.06,170000,4770111,46713398,"Apr 23, 2020, 08:46 PM",sell
66,KTOS,DEMARCO ERIC M,President & CEO,"Apr 21, 2020",$13.98,10000,139799,479650,"Apr 23, 2020, 08:45 PM",sell
67,IPHI,Torten Ron,Sr. VP Operations & IT,"Apr 21, 2020",$96.17,9174,882293,65905,"Apr 23, 2020, 08:31 PM",sell
68,DDOG,OBSTLER DAVID M,Chief Financial Officer,"Apr 22, 2020",$40.94,20000,818727,101679,"Apr 23, 2020, 08:04 PM",sell
69,CRM,Benioff Marc,Chair of the Board & CEO,"Apr 23, 2020",$153.85,10000,1538547,30116326,"Apr 23, 2020, 07:48 PM",sell
70,TCRD,Flynn Christopher J.,CEO,"Apr 21, 2020",$2.97,30600,90882,141478,"Apr 23, 2020, 07:39 PM",sell
71,TSLF,Flynn Christopher J.,President of the Advisor,"Apr 21, 2020",$11.54,2599,29992,575,"Apr 23, 2020, 07:37 PM",sell
72,NEOG,HERBERT JAMES L,Director,"Apr 21, 2020",$66.13,19368,1280835,10288,"Apr 23, 2020, 06:46 PM",sell
73,FB,Newstead Jennifer,VP and General Counsel,"Apr 21, 2020",$175.28,97,17002,1667,"Apr 23, 2020, 06:27 PM",sell
74,CNK,Humrichouse Ximena G,Director,"Mar 30, 2020",$11.40,5000,56976,21045,"Apr 23, 2020, 06:20 PM",sell
75,NEM,Cmil Jennifer,"EVP, Human Resources","Apr 21, 2020",$58.49,2571,150378,22231,"Apr 23, 2020, 06:17 PM",sell
76,SOTK,SCHWARTZ SAMUEL,Director,"Apr 22, 2020",$2.41,1700,4097,1313647,"Apr 23, 2020, 06:07 PM",sell
